Location ID,ZIP,Primary_City,State,County,Estimated_population_2013
215,94560,Newark,CA,Alameda County,"41,261"
221,94014,Daly City,CA,San Mateo County,"40,766"
227,92648,Huntington Beach,CA,Orange County,"40,257"
230,90065,Los Angeles,CA,Los Angeles County,"40,100"
293,95610,Citrus Heights,CA,Sacramento County,"36,975"
390,95688,Vacaville,CA,Solano County,"31,580"
30,90706,Bellflower,CA,Los Angeles County,"65,089"
40,94558,Napa,CA,Napa County,"61,833"
43,90631,La Habra,CA,Orange County,"61,495"
49,91335,Reseda,CA,Los Angeles County,"60,531"
51,92592,Temecula,CA,Riverside County,"60,345"
57,90660,Pico Rivera,CA,Los Angeles County,"58,453"
80,93536,Lancaster,CA,Los Angeles County,"54,292"
94,93230,Hanford,CA,Kings County,"52,413"
112,90003,Los Angeles,CA,Los Angeles County,"50,694"
135,95020,Gilroy,CA,Santa Clara County,"48,009"
143,91344,Granada Hills,CA,Los Angeles County,"47,029"
151,90731,San Pedro,CA,Los Angeles County,"46,774"
172,92886,Yorba Linda,CA,Orange County,"44,738"
173,92024,Encinitas,CA,San Diego County,"44,657"
234,92069,San Marcos,CA,San Diego County,"39,979"
239,94303,Palo Alto,CA,Santa Clara County,"39,638"
242,93308,Bakersfield,CA,Kern County,"39,560"
253,92867,Orange,CA,Orange County,"39,161"
268,92113,San Diego,CA,San Diego County,"38,340"
270,91306,Winnetka,CA,Los Angeles County,"38,217"
287,90605,Whittier,CA,Los Angeles County,"37,303"
292,90808,Long Beach,CA,Los Angeles County,"37,031"
474,95358,Modesto,CA,Stanislaus County,"28,403"
47,92882,Corona,CA,Riverside County,"60,821"
73,95758,Elk Grove,CA,Sacramento County,"55,069"
125,94122,San Francisco,CA,San Francisco County,"49,277"
158,91801,Alhambra,CA,Los Angeles County,"46,282"
160,93720,Fresno,CA,Fresno County,"45,846"
168,92399,Yucaipa,CA,San Bernardino County,"45,088"
187,92656,Aliso Viejo,CA,Orange County,"43,215"
191,93436,Lompoc,CA,Santa Barbara County,"43,076"
193,91304,Canoga Park,CA,Los Angeles County,"42,874"
196,90620,Buena Park,CA,Orange County,"42,604"
199,90220,Compton,CA,Los Angeles County,"42,468"
260,90018,Los Angeles,CA,Los Angeles County,"38,849"
277,92544,Hemet,CA,Riverside County,"38,056"
279,92019,El Cajon,CA,San Diego County,"38,023"
282,92025,Escondido,CA,San Diego County,"37,858"
285,90501,Torrance,CA,Los Angeles County,"37,515"
505,95492,Windsor,CA,Sonoma County,"27,487"
8,90805,Long Beach,CA,Los Angeles County,"81,211"
23,91706,Baldwin Park,CA,Los Angeles County,"70,601"
32,94587,Union City,CA,Alameda County,"65,015"
38,93550,Palmdale,CA,Los Angeles County,"62,601"
59,94080,South San Francisco,CA,San Mateo County,"58,023"
115,94087,Sunnyvale,CA,Santa Clara County,"50,288"
121,94541,Hayward,CA,Alameda County,"49,735"
126,95051,Santa Clara,CA,Santa Clara County,"49,177"
163,92504,Riverside,CA,Riverside County,"45,623"
166,92027,Escondido,CA,San Diego County,"45,198"
170,90063,Los Angeles,CA,Los Angeles County,"45,041"
210,95747,Roseville,CA,Placer County,"41,524"
223,90503,Torrance,CA,Los Angeles County,"40,569"
224,94601,Oakland,CA,Alameda County,"40,560"
261,95336,Manteca,CA,San Joaquin County,"38,825"
264,90002,Los Angeles,CA,Los Angeles County,"38,545"
275,95822,Sacramento,CA,Sacramento County,"38,075"
289,90025,Los Angeles,CA,Los Angeles County,"37,172"
294,95762,El Dorado Hills,CA,El Dorado County,"36,970"
296,94121,San Francisco,CA,San Francisco County,"36,883"
340,95380,Turlock,CA,Stanislaus County,"34,283"
2,90280,South Gate,CA,Los Angeles County,"87,540"
26,90255,Huntington Park,CA,Los Angeles County,"69,140"
36,92054,Oceanside,CA,San Diego County,"64,212"
